species,lifestage,URL,SAME_AS
ALMACO,eggs,.,UNMAPPABLE
ALMACO,larvae,.,UNIQUE
ALMACO,postLarvae,.,UNMAPPABLE
ALMACO,spawningAdult,.,UNMAPPABLE
ALMACOJACK,adult,https://api.mapbox.com/styles/v1/ceroberts/ciya8ra9q002g2sqjdmcijzxr/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2Vyb2JlcnRzIiwiYSI6ImNpeTM1Y2dsazAwM24ycXBneTN2YTAzN2gifQ.2M7HwRpElO_DHWaeqTXc8g,UNIQUE
ALMACOJACK,earlyJuvenile,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfz9p9o000x2sl8mptahh45/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GREATERAMBERJACK/ALMACOJACK
BANDEDRUDDERFISH,eggs,.,UNMAPPABLE
BANDEDRUDDERFISH,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg583fy001q2sl8bnvphfq3/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,YELLOWTAILSNAPPER/BANDEDRUDDERFISH
BANDEDRUDDERFISH,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg5vkxp001q2slujvqmbla8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,YELLOWTAILSNAPPER/BANDEDRUDDERFISH
BLACKFINSNAPPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixvv3xeh00062sp6cf169n4u/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE
BLACKFINSNAPPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv584j00092rr0n2pltckb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE
BLACKFINSNAPPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvv6944000a2rr02ll92mog/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE
BLACKFINSNAPPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvv25ld00052sp6zmwzzije/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKFINSNAPPER/REDGROUPER
BLACKFINSNAPPER,larvae,.,UNMAPPABLE
BLACKFINSNAPPER,postLarvae,.,UNMAPPABLE
BLACKFINSNAPPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER
BLACKGROUPER,adult,https://api.mapbox.com/styles/v1/claireroberts/cixuhtoo1002t2rnrcn7gtc2t/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKGROUPER/HOGFISH/REDGROUPER/SCAMP/YELLOWTAILSNAPPER
BLACKGROUPER,earlyJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixvtd3g400062rr05pz3dn9x/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,HOGFISH/BLACKGROUPER
BLACKGROUPER,lateJuvenile,https://api.mapbox.com/styles/v1/claireroberts/cixuq2tpu00322rlar9seu31d/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE
BLACKGROUPER,spawningAdult,https://api.mapbox.com/styles/v1/claireroberts/cixvtl4lu00062rmh4zwjqoe6/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,BLACKGROUPER/SCAMP
BLACKGROUPER,eggs,https://api.mapbox.com/styles/v1/auburngrad2015/ciyek5tfq00172so4fjucp7e8/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,BLACKFINSNAPPER/GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER
BLACKGROUPER,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER
BLACKGROUPER,postLarvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyg4rco3001t2smf18mbt7cb/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,SPECKLEDHIND/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER
BLUELINETILEFISH,larvae,https://api.mapbox.com/styles/v1/auburngrad2015/ciyfysi9m000p2ro4ny4r8avp/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiYXVidXJuZ3JhZDIwMTUiLCJhIjoiY2l5ZWhvaHplMDB3MjJxbXA1MHF5czR0biJ9.rEHf8qpxUi9Uv0rjMO0fEg,GRAYSNAPPER/SPECKLEDHIND/REDGROUPER/GAG/SCAMP/BLUELINETILEFISH/BLACKGROUPER
BLUELINETILEFISH,adult,https://api.mapbox.com/styles/v1/claireroberts/cixvyqrtm000m2soz3at5mtsi/tiles/256/{z}/{x}/{y}?access_token=pk.eyJ1IjoiY2xhaXJlcm9iZXJ0cyIsImEiOiJjaWtqdTFyZ3UwOGw2dnRrbTlibDd2OW9yIn0.ccw4vPRr3LiUpAcqyThNig,UNIQUE
